,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Jiangsu,Chongqing,Shandong,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Shaanxi,Guangxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Xinjiang,Inner Mongolia,Ningxia,Hong Kong,Taipei and environs,Qinghai,Macao,Xizang,Sum,Sum without Hubei
2-Feb,1921,84,71,62,74,43,47,29,24,23,29,15,27,24,8,15,15,11,8,6,9,9,6,4,10,4,5,3,2,1,0,1,0,0,2590,669
3-Feb,2103,79,73,63,58,68,58,40,38,21,18,23,29,16,9,20,12,16,10,7,8,10,9,6,6,10,1,7,3,1,0,4,1,0,2827,724
4-Feb,2345,114,109,105,72,72,85,37,37,24,28,37,16,15,13,15,14,12,8,9,10,8,14,4,5,11,5,4,3,0,0,2,0,0,3233,888
5-Feb,3156,73,89,66,68,50,72,33,29,28,19,35,25,25,9,11,23,11,5,10,8,7,4,7,1,12,3,5,0,3,1,2,2,0,3892,736
6-Feb,2987,74,87,59,50,61,52,32,23,45,20,37,21,21,22,10,8,18,6,11,5,9,3,8,5,5,4,4,6,3,0,1,0,0,3697,710
7-Feb,2447,74,63,52,61,74,61,35,22,36,23,50,23,15,14,9,11,4,7,11,8,6,9,5,8,6,3,3,3,3,5,0,0,0,3151,704
8-Feb,2841,57,67,42,31,68,37,31,15,28,19,5,18,12,24,15,11,11,3,12,12,8,2,5,1,4,3,1,2,2,0,0,0,0,3387,546
9-Feb,2147,45,52,27,35,46,42,29,20,28,23,25,11,11,11,11,13,12,2,5,7,11,7,6,10,9,3,4,0,0,1,0,0,0,2653,506
10-Feb,2531,31,40,29,41,51,31,24,22,24,19,24,11,3,12,11,5,15,1,8,13,4,3,2,4,2,4,4,4,10,1,0,0,0,2984,453
11-Feb,2097,26,32,13,33,30,33,23,18,27,12,29,5,7,21,6,6,5,8,6,9,3,5,1,1,1,6,0,4,6,0,0,0,0,2473,376
12-Feb,1638,42,30,14,34,29,40,28,19,11,19,18,10,4,12,5,6,7,5,3,13,2,10,3,0,2,4,2,5,7,0,0,0,0,2022,384
13-Feb,13797,22,34,14,22,21,28,27,13,9,15,17,14,7,14,7,4,0,1,12,4,2,6,5,1,1,4,1,6,1,0,0,0,0,14109,312
14-Feb,4823,20,15,10,20,24,28,23,11,13,12,23,6,5,18,2,1,4,7,0,5,0,7,1,3,2,2,2,3,3,0,0,0,0,5093,270
15-Feb,2420,33,28,7,13,16,13,11,8,11,7,7,3,8,8,4,2,9,6,5,3,1,1,2,0,2,5,5,3,3,0,0,0,0,2644,224
16-Feb,1843,22,19,5,3,12,13,13,7,7,11,20,5,2,9,2,4,2,1,0,1,1,2,1,0,1,1,2,0,0,0,0,0,0,2009,166
17-Feb,1933,6,15,4,2,11,5,9,7,4,14,12,1,3,1,3,4,1,2,0,2,1,2,1,1,0,2,2,0,1,2,0,0,0,2051,118
18-Feb,1807,6,11,1,1,9,3,3,2,2,13,7,6,2,1,2,0,4,1,1,0,1,1,0,0,0,1,1,0,3,2,0,0,0,1891,84