,hospitalized with symptoms,ICU,total hospitalized,home isolation,total positive,change in positive,new positive,recovered,deceases,total cases,swabs,cases tested
20200224,76,19,95,71,166,0,166,0,6,172,1463,
20200225,79,25,104,127,231,65,68,0,9,240,3700,
20200226,79,25,104,145,249,18,18,0,9,258,3208,
20200227,172,41,213,136,349,100,145,40,14,403,3320,
20200228,235,47,282,192,474,125,128,40,17,531,4835,
20200229,256,80,336,216,552,78,84,40,23,615,5723,
20200301,406,106,512,375,887,335,369,73,24,984,6879,
20200302,478,127,605,472,1077,190,270,139,38,1254,7925,
20200303,698,167,865,461,1326,249,266,139,55,1520,9577,
20200304,877,209,1086,411,1497,171,300,250,73,1820,12138,
20200305,1169,244,1413,364,1777,280,431,376,98,2251,12354,
20200306,1622,309,1931,77,2008,231,361,469,135,2612,13556,
20200307,1661,359,2020,722,2742,734,808,524,154,3420,15778,
20200308,2217,399,2616,756,3372,630,769,550,267,4189,18534,
20200309,2802,440,3242,1248,4490,1118,1280,646,333,5469,20135,
20200310,3319,466,3785,642,4427,-63,322,896,468,5791,21479,
20200311,3852,560,4412,1351,5763,1336,1489,900,617,7280,25629,
20200312,4247,605,4852,2044,6896,1133,1445,1085,744,8725,29534,
20200313,4435,650,5085,2647,7732,836,1095,1198,890,9820,32700,
20200314,4898,732,5630,3429,9059,1327,1865,1660,966,11685,37138,
20200315,5500,767,6267,3776,10043,984,1587,2011,1218,13272,40369,
20200316,6171,823,6994,3867,10861,818,1377,2368,1420,14649,43565,
20200317,6953,879,7832,4263,12095,1234,1571,2485,1640,16220,46449,
20200318,7285,924,8209,4057,12266,171,1493,3488,1959,17713,48983,
20200319,7387,1006,8393,5545,13938,1672,2171,3778,2168,19884,52244,
20200320,7735,1050,8785,6635,15420,1482,2380,4295,2549,22264,57174,
20200321,8258,1093,9351,8019,17370,1950,3251,5050,3095,25515,66730,
20200322,9439,1142,10581,7304,17885,515,1691,5865,3456,27206,70598,
20200323,9266,1183,10449,8461,18910,1025,1555,6075,3776,28761,73242,
20200324,9711,1194,10905,8963,19868,958,1942,6657,4178,30703,76695,
20200325,10026,1236,11262,9329,20591,723,1643,7281,4474,32346,81666,
20200326,10681,1263,11944,10245,22189,1598,2543,7839,4861,34889,87713,
20200327,11137,1292,12429,11466,23895,1706,2409,8001,5402,37298,95860,
20200328,11152,1319,12471,12038,24509,614,2117,8962,5944,39415,102503,
20200329,11613,1328,12941,12451,25392,883,1592,9255,6360,41007,107398,
20200330,11815,1330,13145,11861,25006,-386,1154,10337,6818,42161,111057,
20200331,11883,1324,13207,11917,25124,118,1047,10885,7199,43208,114640,
20200401,11927,1342,13269,12496,25765,641,1565,11415,7593,44773,121449,
20200402,11762,1351,13113,12763,25876,111,1292,12229,7960,46065,128286,
20200403,11802,1381,13183,13006,26189,313,1455,13020,8311,47520,135051,
20200404,12002,1326,13328,13892,27220,1031,1598,13242,8656,49118,141877,
20200405,12009,1317,13326,14798,28124,904,1337,13426,8905,50455,149984,
20200406,11914,1343,13257,15212,28469,345,1079,13863,9202,51534,154989,
20200407,11833,1305,13138,15205,28343,-126,791,14498,9484,52325,159331,
20200408,11719,1257,12976,15569,28545,202,1089,15147,9722,53414,167557,
20200409,11796,1236,13032,16042,29074,529,1388,15706,10022,54802,176953,
20200410,11877,1202,13079,16451,29530,456,1246,16280,10238,56048,186325,
20200411,12026,1174,13200,17058,30258,728,1544,16823,10511,57592,196302,
20200412,11969,1176,13145,18120,31265,1007,1460,17166,10621,59052,205832,
20200413,12028,1143,13171,18764,31935,670,1262,17478,10901,60314,211092,
20200414,12077,1122,13199,19164,32363,428,1012,17821,11142,61326,214870,
20200415,12043,1074,13117,19804,32921,558,827,17855,11377,62153,221968,
20200416,11356,1032,12388,20702,33090,169,941,18396,11608,63094,232674,
20200417,10627,971,11598,21836,33434,344,1041,18850,11851,64135,243513,
20200418,10042,947,10989,23206,34195,761,1246,19136,12050,65381,255331,
20200419,10342,922,11264,23233,34497,302,855,19526,12213,66236,264155,183757.0
20200420,10138,901,11039,23548,34587,90,735,20008,12376,66971,270486,173333.0
20200421,9805,851,10656,23322,33978,-609,960,21374,12579,67931,277197,173333.0
20200422,9692,817,10509,23733,34242,264,1161,22110,12740,69092,290699,184323.0
20200423,9192,790,9982,23891,33873,-369,1073,23352,12940,70165,302715,190451.0
20200424,8791,756,9547,24821,34368,495,1091,23782,13106,71256,314298,196406.0
20200425,8489,724,9213,25260,34473,105,713,24227,13269,71969,326940,202827.0
20200426,8481,706,9187,25979,35166,693,920,24398,13325,72889,337797,208471.0
20200427,7525,680,8205,27236,35441,275,590,24589,13449,73479,342850,211523.0
20200428,7280,655,7935,27809,35744,303,869,25029,13575,74348,351423,216526.0
20200429,7120,634,7754,28368,36122,378,786,25333,13679,75134,365895,223952.0
20200430,6834,605,7439,28772,36211,89,598,25749,13772,75732,376943,229880.0
20200501,6628,563,7191,29282,36473,262,737,26136,13860,76469,390644,236822.0
20200502,6529,545,7074,29593,36667,194,533,26146,14189,77002,403702,243383.0
20200503,6609,532,7141,29785,36926,259,526,26371,14231,77528,410857,247176.0
20200504,6414,532,6946,30361,37307,381,577,26504,14294,78105,418835,251661.0
20200505,6201,509,6710,30382,37092,-215,500,27124,14389,78605,425290,255292.0
20200506,6079,480,6559,25194,31753,-5339,764,33005,14611,79369,439806,262964.0
20200507,5848,480,6328,25687,32015,262,720,33329,14745,80089,455294,262964.0
20200508,5702,400,6102,25881,31983,-32,634,33901,14839,80723,466287,277106.0
20200509,5535,330,5865,24397,30262,-1721,502,36039,14924,81225,477765,282817.0
20200510,5428,348,5776,24414,30190,-72,282,36331,14986,81507,485134,287330.0
20200511,5397,341,5738,24673,30411,221,364,36406,15054,81871,492642,292603.0
20200512,5222,322,5544,25131,30675,264,1033,37113,15116,82904,513244,305152.0
20200513,5007,307,5314,24718,30032,-643,394,38081,15185,83298,524163,310896.0
20200514,4818,297,5115,24841,29956,-76,522,38568,15296,83820,538243,318289.0
20200515,4705,276,4981,22765,27746,-2210,299,40962,15411,84119,550405,325071.0
20200516,4521,268,4789,22890,27679,-67,399,41389,15450,84518,564550,333243.0
20200517,4480,255,4735,22695,27430,-249,326,41895,15519,84844,576359,340164.0
20200518,4482,252,4734,22339,27073,-357,175,42403,15543,85019,581437,343213.0
20200519,4426,244,4670,22621,27291,218,462,42593,15597,85481,596355,353579.0
20200520,4281,231,4512,22159,26671,-620,294,43442,15662,85775,607863,359922.0
20200521,4119,226,4345,22370,26715,44,316,43649,15727,86091,622565,368046.0
20200522,4028,207,4235,21698,25933,-782,293,44667,15784,86384,641593,378934.0
20200523,4026,199,4225,21405,25630,-303,441,45355,15840,86825,658784,389648.0
20200524,4017,197,4214,21400,25614,-16,285,45656,15840,87110,670241,396992.0
20200525,3721,196,3917,21298,25215,-399,148,46169,15874,87258,675882,400252.0
20200526,3622,183,3805,20672,24477,-738,159,47044,15896,87417,685058,405650.0
