,Ciudad de México,México,Baja California,Tabasco,Veracruz,Sinaloa,Puebla,Sonora,Jalisco,Michoacán,Guerrero,Guanajuato,Quintana Roo,Hidalgo,Chiapas,Yucatán,Tamaulipas,Oaxaca,Chihuahua,Nuevo León,Morelos,Coahuila,Tlaxcala,Queretaro,San Luis Potosí,Aguascalientes,Campeche,Baja California Sur,Nayarit,Durango,Zacatecas,Colima
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-13,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-03-14,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-15,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0
2020-03-16,3,5,0,0,0,0,2,0,0,0,2,0,3,0,0,3,0,0,0,8,0,0,0,1,0,0,0,0,0,2,0,0
2020-03-17,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,3,0,2,1,2,0,0,0,1,0,0,3,2,0,0,3,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1
2020-03-19,7,0,0,0,0,1,2,1,16,0,2,0,0,2,1,5,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0
2020-03-20,0,4,2,1,2,0,3,0,6,0,0,0,5,0,0,0,0,0,1,10,2,0,0,2,0,0,0,0,0,1,0,0
2020-03-21,14,0,4,2,3,0,2,0,4,0,0,0,1,1,0,1,1,0,0,3,0,2,0,3,2,0,0,1,1,1,1,1
2020-03-22,11,8,3,1,0,1,0,2,9,3,0,0,0,2,0,5,1,1,3,3,0,7,0,0,3,0,1,0,0,0,1,0
2020-03-23,4,0,2,1,0,0,0,0,5,4,1,3,9,2,0,0,1,1,0,5,0,2,0,2,4,2,1,1,0,0,1,0
2020-03-24,6,0,0,0,0,0,6,0,0,1,1,5,1,0,0,5,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,16,4,1,0,0,0,12,0,0,2,1,7,0,0,2,5,1,3,0,0,0,0,1,2,1,6,0,3,3,0,0,0
2020-03-26,1,20,5,11,0,4,11,3,18,1,0,4,7,5,0,3,0,1,0,5,2,1,0,3,1,1,0,2,0,0,1,0
2020-03-27,24,24,1,4,10,1,6,1,13,5,0,8,0,0,3,4,0,3,0,7,0,1,3,2,1,6,0,2,1,2,0,0
2020-03-28,70,15,0,6,6,5,1,2,5,1,3,6,4,0,-1,2,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0
2020-03-29,19,34,3,6,1,5,14,4,1,0,3,0,5,5,4,3,1,2,0,3,2,17,0,1,4,5,0,2,0,0,1,0
2020-03-30,9,17,4,5,2,5,10,3,7,0,0,6,5,0,1,5,1,0,0,8,0,7,0,1,1,0,0,2,1,0,1,0
2020-03-31,29,13,8,10,1,3,5,0,4,4,2,3,4,2,2,3,0,0,1,1,1,5,0,2,0,12,2,4,0,0,0,0
2020-04-01,62,8,2,4,1,5,16,1,5,3,2,3,4,2,1,3,1,8,4,2,2,13,1,0,6,0,0,1,2,0,0,1
2020-04-02,31,14,3,10,1,10,3,3,5,0,5,1,5,5,1,1,4,0,0,6,0,5,0,3,2,11,0,1,0,1,1,0
2020-04-03,57,6,12,11,6,9,9,1,12,0,2,2,9,4,3,6,3,0,1,1,3,8,3,3,2,1,1,2,0,0,0,1
2020-04-04,85,3,2,10,2,23,16,5,4,5,1,1,10,2,1,3,4,0,1,3,2,2,1,1,0,1,2,6,1,2,3,0
2020-04-05,91,24,15,14,3,16,22,1,3,1,5,0,11,2,6,5,6,3,2,3,1,10,2,2,2,0,0,1,0,2,0,0
2020-04-06,49,57,42,10,1,7,9,2,3,3,2,5,29,1,1,5,5,2,7,2,2,20,3,2,0,0,1,26,1,0,-1,0
2020-04-07,114,59,25,1,5,14,23,5,9,1,5,3,20,6,2,2,1,8,0,0,7,7,4,5,4,4,5,2,0,3,1,1
2020-04-08,132,34,89,4,3,14,4,11,4,2,10,6,8,5,4,0,11,2,7,5,2,13,5,2,2,0,0,12,2,0,1,2
2020-04-09,54,45,14,1,5,13,15,2,0,10,2,4,16,1,2,14,3,3,13,9,9,7,6,3,4,0,0,0,4,1,0,0
2020-04-10,131,71,19,21,9,33,16,7,5,0,5,7,4,4,4,0,2,1,12,3,0,14,5,5,1,0,1,17,3,0,3,0
2020-04-11,77,28,20,9,10,43,29,10,6,4,2,3,53,2,1,15,1,2,0,9,5,13,4,2,3,2,3,17,2,0,0,0
2020-04-12,211,25,57,10,5,15,13,4,6,11,14,1,7,5,4,4,4,0,7,5,4,1,2,4,2,0,1,18,1,0,1,0
2020-04-13,109,35,33,3,4,16,13,3,3,1,7,6,16,0,0,7,0,1,6,8,5,19,9,0,2,0,10,33,3,0,1,0
2020-04-14,119,44,44,39,12,16,7,1,6,5,11,2,6,6,2,2,2,2,2,4,4,18,2,4,0,10,4,11,0,-1,1,0
2020-04-15,130,57,52,15,12,31,15,5,11,3,9,1,24,0,3,12,5,4,14,14,3,1,7,4,1,0,10,1,2,1,1,0
2020-04-16,142,36,41,23,6,35,14,11,2,14,3,5,7,3,6,3,18,3,25,9,2,19,4,7,0,6,2,1,2,1,0,0
2020-04-17,252,59,31,17,9,47,9,8,12,15,10,17,4,3,4,9,13,3,7,0,15,3,5,2,2,6,2,3,2,2,5,2
2020-04-18,219,32,74,28,3,39,16,11,6,8,0,3,35,5,4,32,26,6,16,13,4,15,5,1,1,0,9,4,2,0,4,1
2020-04-19,292,91,70,57,22,46,22,9,2,8,11,17,7,12,5,4,10,1,17,12,5,5,4,2,4,3,1,20,2,2,0,1
2020-04-20,119,24,61,62,10,27,8,0,18,12,5,17,38,5,1,15,7,6,4,18,3,17,2,4,3,0,6,12,2,1,4,0
2020-04-21,147,112,174,70,9,24,22,-3,10,12,0,8,33,14,7,3,11,3,3,1,4,12,6,3,1,0,4,23,4,8,1,3
2020-04-22,430,144,77,37,30,60,4,8,10,7,11,15,33,7,8,5,21,8,21,18,7,13,15,3,1,19,3,12,2,3,11,0
2020-04-23,398,88,91,88,35,46,29,5,20,22,20,9,35,2,12,35,25,6,18,38,16,11,8,3,5,6,0,1,6,6,4,1
2020-04-24,433,200,81,52,38,76,41,11,7,11,8,10,50,29,5,10,14,1,19,11,23,22,11,10,0,40,13,6,2,2,3,0
2020-04-25,313,163,42,56,31,19,30,-3,8,16,6,6,29,11,14,55,12,15,28,12,23,24,15,6,3,1,4,19,2,2,7,1
2020-04-26,229,86,80,21,35,39,28,9,11,15,22,8,53,19,4,22,45,3,18,5,20,8,7,2,3,2,7,19,4,2,7,2
2020-04-27,227,59,30,91,68,48,42,15,21,9,14,9,50,8,10,29,26,11,13,8,3,10,5,11,5,13,9,1,1,1,0,5
2020-04-28,374,213,94,73,36,8,30,4,13,39,25,4,45,36,9,25,8,3,43,15,48,10,23,2,1,6,11,7,3,11,2,2
2020-04-29,365,87,106,50,48,18,39,10,9,29,28,19,13,17,24,26,13,9,11,14,32,1,17,5,13,20,7,9,5,2,1,0
2020-04-30,487,205,61,42,60,45,17,13,23,36,13,24,77,19,12,44,7,8,26,22,46,38,14,6,10,19,8,7,20,8,7,1
2020-05-01,378,246,9,83,40,143,75,28,29,32,33,21,42,23,14,40,24,9,49,30,42,14,25,14,12,20,11,14,3,2,9,1
2020-05-02,544,111,12,10,55,69,48,9,11,23,1,7,58,24,23,45,24,17,52,39,51,20,11,8,9,29,10,8,10,2,8,1
2020-05-03,451,227,78,115,32,44,50,16,31,3,25,18,22,6,12,54,17,2,60,13,13,13,11,7,16,12,11,8,8,3,5,0
2020-05-04,430,244,150,50,99,43,37,13,29,7,22,6,12,20,5,20,8,6,20,23,74,23,11,12,10,23,8,5,9,5,10,0
2020-05-05,242,124,190,29,34,34,41,19,24,19,20,14,32,40,10,41,8,12,48,27,52,13,12,0,10,3,3,7,8,0,3,1
2020-05-06,656,164,110,41,33,55,34,33,22,29,24,14,26,26,22,39,19,15,19,42,58,3,18,12,20,3,30,7,18,11,6,0
2020-05-07,719,307,78,86,87,62,50,46,16,51,25,48,19,32,25,37,24,10,17,54,45,12,26,16,18,0,17,9,28,5,9,4
2020-05-08,743,182,100,125,87,61,53,28,49,32,9,25,33,45,36,26,1,6,15,35,55,36,18,15,24,8,11,5,23,10,7,3
2020-05-09,635,162,88,68,101,21,46,62,36,55,21,30,40,19,35,37,269,8,25,7,63,16,33,10,10,3,20,5,6,2,5,0
2020-05-10,688,121,62,54,44,78,7,26,2,14,57,28,10,44,27,39,28,23,16,34,26,10,4,18,28,27,12,8,9,6,9,3
2020-05-11,306,111,17,103,148,47,51,39,43,8,51,31,37,34,24,19,19,8,19,22,15,11,29,22,14,23,19,11,16,1,6,1
2020-05-12,667,264,129,120,142,62,52,25,31,36,30,43,26,28,13,35,32,13,38,22,55,12,14,21,34,30,0,3,9,8,2,1
2020-05-13,523,168,193,99,72,41,40,69,32,67,52,39,33,33,17,41,12,20,37,30,39,32,41,41,30,17,20,8,4,5,7,0
2020-05-14,843,309,92,89,92,96,62,46,48,42,25,39,49,41,52,49,64,35,31,38,65,9,39,27,25,9,30,10,23,17,4,9
2020-05-15,940,170,191,105,32,98,65,64,20,48,48,40,30,67,32,51,26,43,75,22,39,18,35,20,37,35,35,19,13,6,9,4
2020-05-16,731,201,129,84,103,48,66,42,31,94,38,27,31,66,69,59,29,48,25,16,13,26,20,42,25,-1,8,5,18,5,9,5
2020-05-17,689,200,89,122,121,65,42,80,50,57,12,47,27,31,48,31,21,28,19,68,58,12,25,21,28,30,11,14,9,2,10,8
2020-05-18,1087,189,82,108,110,92,50,21,41,16,53,26,31,79,32,38,53,159,1,16,4,2,16,38,26,5,8,3,8,12,3,5
2020-05-19,894,276,155,75,176,60,113,75,34,107,42,39,19,48,45,53,70,84,41,79,-1,25,49,57,14,40,14,7,12,7,2,2
2020-05-20,714,187,118,156,68,82,97,31,46,52,26,26,27,66,70,40,20,51,54,60,14,46,28,41,32,46,10,6,15,9,6,4
2020-05-21,1083,148,180,112,141,82,107,108,61,69,53,76,58,60,81,79,30,64,82,20,45,23,26,54,33,27,26,17,13,5,2,8
2020-05-22,1106,328,176,106,166,86,53,56,74,88,33,50,80,41,77,42,21,92,28,52,-30,40,12,43,39,23,26,2,16,18,10,6
2020-05-23,1493,184,157,113,86,110,155,67,37,82,63,79,48,59,79,55,60,62,49,30,32,2,56,37,44,5,31,16,22,6,7,3
2020-05-24,943,282,120,105,77,150,67,175,50,41,112,29,29,46,112,68,29,37,16,29,44,8,33,20,52,2,26,11,15,16,7,13
2020-05-25,668,351,30,90,176,210,82,8,58,35,96,74,32,73,59,36,78,66,6,20,18,52,45,23,1,34,14,9,19,11,8,3
2020-05-26,885,731,172,130,305,19,158,124,59,92,61,58,42,120,62,45,11,38,86,53,-15,41,27,33,43,27,9,8,17,2,9,3
2020-05-27,966,661,175,129,108,90,132,30,58,119,55,52,46,34,108,35,60,35,78,66,37,48,90,47,52,40,34,8,20,29,10,11
2020-05-28,1182,228,186,190,89,113,203,36,82,102,163,82,48,67,65,59,81,42,44,36,36,14,2,32,29,53,38,10,22,25,11,7
2020-05-29,1078,231,108,202,88,109,188,154,94,103,59,66,39,56,96,35,63,64,103,37,26,37,24,22,33,28,14,26,21,16,6,1
2020-05-30,808,99,153,139,57,136,74,49,140,61,180,83,35,75,143,75,50,82,63,11,61,69,25,48,32,19,29,12,26,41,6,4
2020-05-31,898,391,48,134,89,162,136,225,101,44,64,171,32,31,155,51,2,82,48,46,0,0,39,45,49,0,20,24,29,19,8,9
2020-06-01,884,240,53,185,290,158,72,50,39,36,56,47,44,55,58,40,91,93,11,65,6,3,20,16,26,25,25,12,42,17,9,3
2020-06-02,863,359,106,296,301,118,132,189,226,77,99,203,30,133,78,56,88,109,70,42,33,85,40,28,26,49,3,17,13,7,10,5
2020-06-03,1056,370,232,199,55,204,209,129,114,97,81,137,54,113,25,42,63,147,33,104,25,82,32,58,41,50,23,36,14,64,10,13
