Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
China,81218.0,47.0,3281.0,4.0,73650.0,4287.0,1399.0,56.0,2.0
Italy,74386.0,5210.0,7503.0,683.0,9362.0,57521.0,3489.0,1230.0,124.0
USA,68211.0,13355.0,1027.0,247.0,394.0,66790.0,1452.0,206.0,3.0
Spain,49515.0,7457.0,3647.0,656.0,5367.0,40501.0,3166.0,1059.0,78.0
Germany,37323.0,4332.0,206.0,47.0,3547.0,33570.0,23.0,445.0,2.0
Iran,27017.0,2206.0,2077.0,143.0,9625.0,15315.0,0.0,322.0,25.0
France,25233.0,2929.0,1331.0,231.0,3900.0,20002.0,2827.0,387.0,20.0
Switzerland,10897.0,1020.0,153.0,31.0,131.0,10613.0,141.0,1259.0,18.0
UK,9529.0,1452.0,465.0,43.0,135.0,8929.0,163.0,140.0,7.0
S. Korea,9137.0,100.0,126.0,6.0,3730.0,5281.0,59.0,178.0,2.0
Netherlands,6412.0,852.0,356.0,80.0,3.0,6053.0,582.0,374.0,21.0
Austria,5588.0,305.0,31.0,3.0,9.0,5548.0,28.0,620.0,3.0
Belgium,4937.0,668.0,178.0,56.0,547.0,4212.0,474.0,426.0,15.0
Canada,3409.0,617.0,36.0,10.0,185.0,3188.0,1.0,90.0,1.0
Norway,3084.0,218.0,14.0,2.0,6.0,3064.0,57.0,569.0,3.0
Portugal,2995.0,633.0,43.0,10.0,22.0,2930.0,61.0,294.0,4.0
Australia,2676.0,359.0,11.0,3.0,118.0,2547.0,11.0,105.0,0.4
Brazil,2554.0,307.0,59.0,13.0,2.0,2493.0,18.0,12.0,0.3
Sweden,2526.0,227.0,62.0,22.0,16.0,2448.0,158.0,250.0,6.0
Turkey,2433.0,561.0,59.0,15.0,26.0,2348.0,136.0,29.0,0.7
Israel,2369.0,439.0,5.0,2.0,58.0,2306.0,37.0,274.0,0.6
Malaysia,1796.0,172.0,20.0,4.0,199.0,1577.0,64.0,55.0,0.6
Denmark,1724.0,133.0,34.0,2.0,1.0,1689.0,87.0,298.0,6.0
Czechia,1654.0,260.0,6.0,3.0,10.0,1638.0,19.0,154.0,0.6
Ireland,1564.0,235.0,9.0,2.0,5.0,1550.0,39.0,317.0,2.0
Luxembourg,1333.0,234.0,8.0,0.0,6.0,1319.0,3.0,2129.0,13.0
Japan,1307.0,114.0,45.0,2.0,310.0,952.0,57.0,10.0,0.4
Ecuador,1211.0,129.0,29.0,2.0,3.0,1179.0,2.0,69.0,2.0
Chile,1142.0,220.0,3.0,1.0,22.0,1117.0,7.0,60.0,0.2
Pakistan,1063.0,91.0,8.0,1.0,21.0,1034.0,5.0,5.0,0.04
Poland,1051.0,150.0,14.0,4.0,7.0,1030.0,3.0,28.0,0.4
Thailand,934.0,107.0,4.0,0.0,70.0,860.0,11.0,13.0,0.06
Romania,906.0,112.0,17.0,5.0,86.0,803.0,18.0,47.0,0.9
Saudi Arabia,900.0,133.0,2.0,1.0,29.0,869.0,0.0,26.0,0.06
Finland,880.0,88.0,3.0,2.0,10.0,867.0,22.0,159.0,0.5
Greece,821.0,78.0,22.0,2.0,36.0,763.0,53.0,79.0,2.0
Indonesia,790.0,104.0,58.0,3.0,31.0,701.0,0.0,3.0,0.2
Iceland,737.0,89.0,2.0,0.0,56.0,679.0,11.0,2160.0,6.0
Diamond Princess,712.0,0.0,10.0,0.0,597.0,105.0,15.0,0.0,0.0
South Africa,709.0,155.0,0.0,0.0,12.0,697.0,2.0,12.0,0.0
Russia,658.0,163.0,3.0,2.0,29.0,626.0,8.0,5.0,0.02
India,657.0,121.0,12.0,2.0,43.0,602.0,0.0,0.5,0.01
Philippines,636.0,84.0,38.0,3.0,26.0,572.0,1.0,6.0,0.3
Singapore,631.0,73.0,2.0,0.0,160.0,469.0,17.0,108.0,0.3
Panama,558.0,115.0,8.0,2.0,2.0,548.0,20.0,129.0,2.0
Qatar,537.0,11.0,0.0,0.0,41.0,496.0,6.0,186.0,0.0
Slovenia,528.0,48.0,5.0,1.0,10.0,513.0,14.0,254.0,2.0
Argentina,502.0,115.0,8.0,2.0,52.0,442.0,0.0,11.0,0.2
Peru,480.0,64.0,9.0,2.0,1.0,470.0,9.0,15.0,0.3
Colombia,470.0,92.0,4.0,1.0,8.0,458.0,0.0,9.0,0.08
Egypt,456.0,54.0,21.0,1.0,95.0,340.0,0.0,4.0,0.2
Croatia,442.0,60.0,1.0,0.0,22.0,419.0,6.0,108.0,0.2
Bahrain,419.0,27.0,4.0,1.0,177.0,238.0,2.0,246.0,2.0
Hong Kong,411.0,24.0,4.0,0.0,102.0,305.0,4.0,55.0,0.5
Mexico,405.0,38.0,5.0,1.0,4.0,396.0,1.0,3.0,0.04
Estonia,404.0,35.0,1.0,1.0,8.0,395.0,6.0,305.0,0.8
Dominican Republic,392.0,80.0,10.0,4.0,3.0,379.0,0.0,36.0,0.9
Serbia,384.0,81.0,4.0,1.0,15.0,365.0,21.0,44.0,0.5
Iraq,346.0,30.0,29.0,2.0,103.0,214.0,0.0,9.0,0.7
Lebanon,333.0,15.0,6.0,2.0,20.0,307.0,4.0,49.0,0.9
UAE,333.0,85.0,2.0,0.0,52.0,279.0,2.0,34.0,0.2
Algeria,302.0,38.0,21.0,2.0,65.0,216.0,0.0,7.0,0.5
New Zealand,283.0,78.0,0.0,0.0,27.0,256.0,0.0,59.0,0.0
Lithuania,274.0,65.0,4.0,2.0,1.0,269.0,1.0,101.0,1.0
Armenia,265.0,16.0,0.0,0.0,16.0,249.0,6.0,89.0,0.0
Bulgaria,242.0,24.0,3.0,0.0,4.0,235.0,8.0,35.0,0.4
Taiwan,235.0,19.0,2.0,0.0,29.0,204.0,0.0,10.0,0.08
Hungary,226.0,39.0,10.0,1.0,21.0,195.0,6.0,23.0,1.0
Morocco,225.0,55.0,6.0,1.0,7.0,212.0,1.0,6.0,0.2
Latvia,221.0,24.0,0.0,0.0,1.0,220.0,0.0,117.0,0.0
Uruguay,217.0,28.0,0.0,0.0,0.0,217.0,3.0,62.0,0.0
Slovakia,216.0,12.0,0.0,0.0,7.0,209.0,2.0,40.0,0.0
San Marino,208.0,21.0,21.0,0.0,4.0,183.0,12.0,6130.0,619.0
Costa Rica,201.0,24.0,2.0,0.0,2.0,197.0,4.0,39.0,0.4
Kuwait,195.0,4.0,0.0,0.0,43.0,152.0,6.0,46.0,0.0
Andorra,188.0,24.0,1.0,0.0,1.0,186.0,6.0,2433.0,13.0
North Macedonia,177.0,29.0,3.0,1.0,1.0,173.0,1.0,85.0,1.0
Bosnia and Herzegovina,176.0,8.0,3.0,0.0,2.0,171.0,1.0,54.0,0.9
Tunisia,173.0,59.0,5.0,1.0,2.0,166.0,11.0,15.0,0.4
Jordan,172.0,18.0,0.0,0.0,1.0,171.0,0.0,17.0,0.0
Moldova,149.0,24.0,1.0,0.0,2.0,146.0,20.0,37.0,0.2
Vietnam,148.0,14.0,0.0,0.0,17.0,131.0,3.0,2.0,0.0
Albania,146.0,23.0,5.0,0.0,17.0,124.0,3.0,51.0,2.0
Burkina Faso,146.0,32.0,4.0,0.0,10.0,132.0,0.0,7.0,0.2
Ukraine,145.0,43.0,5.0,2.0,1.0,139.0,0.0,3.0,0.1
Cyprus,132.0,8.0,3.0,0.0,3.0,126.0,3.0,109.0,2.0
Faeroe Islands,132.0,10.0,0.0,0.0,38.0,94.0,2.0,2701.0,0.0
Malta,129.0,19.0,0.0,0.0,2.0,127.0,1.0,292.0,0.0
Réunion,111.0,17.0,0.0,0.0,1.0,110.0,0.0,124.0,0.0
Brunei ,109.0,5.0,0.0,0.0,2.0,107.0,1.0,249.0,0.0
Venezuela,106.0,22.0,0.0,0.0,15.0,91.0,2.0,4.0,0.0
Sri Lanka,102.0,0.0,0.0,0.0,3.0,99.0,2.0,5.0,0.0
Oman,99.0,15.0,0.0,0.0,17.0,82.0,0.0,19.0,0.0
Senegal,99.0,13.0,0.0,0.0,9.0,90.0,0.0,6.0,0.0
Cambodia,96.0,5.0,0.0,0.0,10.0,86.0,1.0,6.0,0.0
Azerbaijan,93.0,6.0,2.0,1.0,10.0,81.0,6.0,9.0,0.2
Belarus,86.0,5.0,0.0,0.0,29.0,57.0,2.0,9.0,0.0
Afghanistan,84.0,10.0,2.0,1.0,2.0,80.0,0.0,2.0,0.05
Kazakhstan,81.0,9.0,0.0,0.0,0.0,81.0,0.0,4.0,0.0
Ivory Coast,80.0,7.0,0.0,0.0,3.0,77.0,0.0,3.0,0.0
Cameroon,75.0,9.0,1.0,0.0,2.0,72.0,0.0,3.0,0.04
Georgia,75.0,5.0,0.0,0.0,10.0,65.0,1.0,19.0,0.0
Guadeloupe,73.0,0.0,1.0,0.0,0.0,72.0,4.0,182.0,2.0
Palestine,71.0,11.0,1.0,1.0,16.0,54.0,0.0,14.0,0.2
Ghana,68.0,15.0,4.0,2.0,0.0,64.0,0.0,2.0,0.1
Martinique,66.0,9.0,1.0,0.0,0.0,65.0,7.0,176.0,3.0
Trinidad and Tobago,60.0,3.0,1.0,1.0,0.0,59.0,0.0,43.0,0.7
Uzbekistan,60.0,10.0,0.0,0.0,0.0,60.0,4.0,2.0,0.0
Cuba,57.0,9.0,1.0,0.0,1.0,55.0,2.0,5.0,0.09
Montenegro,53.0,6.0,1.0,0.0,0.0,52.0,1.0,84.0,2.0
Honduras,52.0,22.0,0.0,0.0,0.0,52.0,0.0,5.0,0.0
Nigeria,51.0,7.0,1.0,0.0,2.0,48.0,0.0,0.2,0.0
Liechtenstein,51.0,0.0,0.0,0.0,0.0,51.0,0.0,1338.0,0.0
DRC,48.0,3.0,2.0,0.0,0.0,46.0,0.0,0.5,0.02
Mauritius,48.0,6.0,2.0,0.0,0.0,46.0,1.0,38.0,2.0
Channel Islands,46.0,10.0,0.0,0.0,0.0,46.0,0.0,265.0,0.0
Kyrgyzstan,44.0,2.0,0.0,0.0,0.0,44.0,0.0,7.0,0.0
Rwanda,41.0,1.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0
Bangladesh,39.0,0.0,5.0,1.0,7.0,27.0,0.0,0.2,0.03
Paraguay,37.0,10.0,3.0,1.0,0.0,34.0,1.0,5.0,0.4
Mayotte,36.0,0.0,0.0,0.0,0.0,36.0,0.0,132.0,0.0
Bolivia,32.0,3.0,0.0,0.0,0.0,32.0,0.0,3.0,0.0
Macao,31.0,2.0,0.0,0.0,10.0,21.0,0.0,48.0,0.0
Monaco,31.0,8.0,0.0,0.0,1.0,30.0,0.0,790.0,0.0
French Guiana,28.0,5.0,0.0,0.0,6.0,22.0,0.0,94.0,0.0
Kenya,28.0,3.0,0.0,0.0,1.0,27.0,0.0,0.5,0.0
Jamaica,26.0,5.0,1.0,0.0,2.0,23.0,0.0,9.0,0.3
Gibraltar,26.0,11.0,0.0,0.0,5.0,21.0,0.0,772.0,0.0
French Polynesia,25.0,0.0,0.0,0.0,0.0,25.0,0.0,89.0,0.0
Guatemala,24.0,3.0,1.0,0.0,4.0,19.0,0.0,1.0,0.06
Isle of Man,23.0,0.0,0.0,0.0,0.0,23.0,0.0,270.0,0.0
Togo,23.0,3.0,0.0,0.0,1.0,22.0,0.0,3.0,0.0
Aruba,19.0,2.0,0.0,0.0,1.0,18.0,0.0,178.0,0.0
Madagascar,19.0,2.0,0.0,0.0,0.0,19.0,0.0,0.7,0.0
Barbados,18.0,0.0,0.0,0.0,0.0,18.0,0.0,63.0,0.0
New Caledonia,14.0,4.0,0.0,0.0,0.0,14.0,0.0,49.0,0.0
Uganda,14.0,5.0,0.0,0.0,0.0,14.0,0.0,0.3,0.0
Maldives,13.0,0.0,0.0,0.0,8.0,5.0,0.0,24.0,0.0
Tanzania,13.0,1.0,0.0,0.0,0.0,13.0,0.0,0.2,0.0
Ethiopia,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0
Zambia,12.0,9.0,0.0,0.0,0.0,12.0,0.0,0.7,0.0
Djibouti,11.0,8.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
Dominica,11.0,4.0,0.0,0.0,0.0,11.0,0.0,153.0,0.0
Saint Martin,11.0,3.0,0.0,0.0,0.0,11.0,0.0,284.0,0.0
Mongolia,10.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
El Salvador,9.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Equatorial Guinea,9.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0
Cayman Islands,8.0,2.0,1.0,0.0,0.0,7.0,0.0,122.0,15.0
Haiti,8.0,1.0,0.0,0.0,0.0,8.0,0.0,0.7,0.0
Suriname,8.0,1.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
Niger,7.0,4.0,1.0,1.0,0.0,6.0,0.0,0.3,0.04
Bermuda,7.0,1.0,0.0,0.0,0.0,7.0,0.0,112.0,0.0
Namibia,7.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0
Seychelles,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0
Curaçao,6.0,0.0,1.0,0.0,2.0,3.0,0.0,37.0,6.0
Gabon,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.4
Benin,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0
Greenland,6.0,1.0,0.0,0.0,2.0,4.0,0.0,106.0,0.0
Guyana,5.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0
Bahamas,5.0,0.0,0.0,0.0,1.0,4.0,0.0,13.0,0.0
Fiji,5.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0
Mozambique,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.0
Syria,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.3,0.0
Cabo Verde,4.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,2.0
Congo,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.0
Eritrea,4.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Guinea,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.0
Vatican City,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4994.0,0.0
Eswatini,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Gambia,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4
Sudan,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.07,0.02
Zimbabwe,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.07
Nepal,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.1,0.0
Angola,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0
Antigua and Barbuda,3.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0
CAR,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0
Chad,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0
Laos,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.0
Liberia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0
Myanmar,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0
St. Barth,3.0,0.0,0.0,0.0,0.0,3.0,0.0,304.0,0.0
Saint Lucia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0
Sint Maarten,3.0,1.0,0.0,0.0,0.0,3.0,0.0,70.0,0.0
Belize,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
Bhutan,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
British Virgin Islands,2.0,2.0,0.0,0.0,0.0,2.0,0.0,66.0,0.0
Guinea-Bissau,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Mali,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0
Mauritania,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0
Nicaragua,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0
Saint Kitts and Nevis,2.0,2.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0
Grenada,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
Libya,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Montserrat,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
St. Vincent Grenadines,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
Somalia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0
Timor-Leste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0
Turks and Caicos,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0
